Content ID,Contents.Category,Year,Quarter,Month,Day,Index,Reactions_Type.ReactionTypeType,Sum of Reactions_Type.Score,ReactionType
004e820e-49c3-4ba2-9d02-62db0065410c,Tennis,2021,Qtr 1,March,9,20400,heart,60,heart
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 2,June,19,15979,heart,60,heart
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 2,June,21,15988,indifferent,20,indifferent
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 2,June,23,15978,interested,30,interested
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 2,June,24,15985,hate,5,hate
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,3,15983,cherish,70,cherish
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,4,15973,super love,75,super love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,4,15994,want,70,want
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,5,15991,interested,30,interested
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,20,15956,adore,72,adore
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,July,26,15990,heart,60,heart
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,August,16,15951,intrigued,45,intrigued
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,August,22,15959,super love,75,super love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,August,31,15962,disgust,0,disgust
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,September,6,15971,intrigued,45,intrigued
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,September,18,15968,worried,12,worried
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,September,24,15980,super love,75,super love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 3,September,25,15950,adore,72,adore
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,October,3,15969,want,70,want
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,October,11,15958,worried,12,worried
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,October,17,15963,want,70,want
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,November,1,15960,peeking,35,peeking
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,November,2,15975,scared,15,scared
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,November,5,15987,heart,60,heart
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,December,5,15981,worried,12,worried
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,December,18,15995,love,65,love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,December,22,15982,worried,12,worried
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,December,24,15961,interested,30,interested
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2020,Qtr 4,December,30,15970,love,65,love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,January,15,15953,like,50,like
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,January,25,15989,adore,72,adore
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,January,31,15967,hate,5,hate
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,February,8,15966,hate,5,hate
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,February,18,15992,want,70,want
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,March,2,15984,heart,60,heart
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 1,March,31,15974,peeking,35,peeking
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,7,15964,indifferent,20,indifferent
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,16,15976,scared,15,scared
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,17,15965,super love,75,super love
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,18,15972,adore,72,adore
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,26,15955,cherish,70,cherish
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,April,26,15993,like,50,like
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,May,3,15977,intrigued,45,intrigued
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,May,9,15954,scared,15,scared
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,May,14,15952,worried,12,worried
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,May,29,15986,cherish,70,cherish
00d0cdf9-5919-4102-bf84-ebde253c3cd2,Healthy Eating,2021,Qtr 2,June,18,15957,dislike,10,dislike
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 2,June,29,21981,heart,60,heart
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,July,12,21967,disgust,0,disgust
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,July,18,21956,interested,30,interested
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,July,25,21973,interested,30,interested
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,August,21,21966,heart,60,heart
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,August,26,21950,interested,30,interested
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 3,September,26,21963,super love,75,super love
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,October,18,21960,indifferent,20,indifferent
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,October,23,21974,super love,75,super love
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,October,31,21953,disgust,0,disgust
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,October,31,21978,heart,60,heart
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,November,1,21952,heart,60,heart
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,November,2,21979,hate,5,hate
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,November,11,21955,worried,12,worried
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,November,17,21969,interested,30,interested
01396602-c759-4a17-90f0-8f9b3ca11b30,Tennis,2020,Qtr 4,November,30,21980,love,65,love
